Product.Name,SAP,Melt.Point,Hot.Tensile,Cold.Tensile,GFN.Raw,GFN.Coated,LOI,Lake,KFB,IO,eco
Custom Coat Opta 70-2.4,362172,218,342,434,69.5,NA,2.65,NA,NA,NA,NA
Custom Coat Opta 70-3.0,362516,211,432,553,68.9,NA,3.42,NA,NA,NA,NA
Custom Coat Piedmont 60-2.75HMP,370221,226,339,NA,NA,NA,NA,NA,NA,NA,NA
Custom Coat Piedmont 70-2.5,369964,219,288,NA,NA,NA,NA,NA,NA,NA,NA
Custom Coat PlymouthT 80-4.25,370408,213,286,NA,NA,NA,NA,NA,NA,NA,NA
Custom Coat Reliable 60-3.5-EZ,363866,209,430,594,NA,NA,4.08,NA,Yes,NA,NA
Custom Coat Reliable 60L-1.4,364778,228,123,229,NA,NA,1.82,Yes,Yes,NA,NA
Custom Coat Reliable 80-2.0EZ,366144,211,179,365,NA,NA,2.26,NA,Yes,NA,NA
Custom Coat Scott 70-2.0,365717,211,283,398,NA,NA,2.26,NA,NA,NA,NA
Custom Coat Scott 70-3.73R,365724,224,422,507,NA,NA,4.04,NA,NA,Yes,NA
Custom Coat Scott 80-1.5,371053,229,179,279,NA,NA,1.74,NA,NA,NA,NA
Custom Coat Scott 80-2.5,371055,229,288,424,NA,NA,2.77,NA,NA,NA,NA
Custom Coat SEFP 90-1.5,363841,230,189,336,NA,NA,1.83,NA,NA,NA,NA
Custom Coat Shells 60-1.5,380002,195,301,NA,NA,NA,NA,NA,NA,NA,NA
Custom Coat Simpson 60-1.4,365260,210,186,NA,NA,NA,NA,NA,NA,NA,NA
Custom Coat Supreme 60L-2.0,380285,216,202,354,NA,NA,2.21,Yes,Yes,NA,NA
Custom Coat Supreme 60L-2.0H,380507,222,190,326,NA,NA,2.17,Yes,Yes,NA,NA
Custom Coat TH MFG 110Z-3.4,367139,217,725,762,109.6,NA,4.01,NA,NA,NA,NA
Custom Coat TH MFG 60-2.0H,380050,233,252,341,60.9,NA,2.23,NA,NA,NA,NA
Custom Coat TH MFG 60-3.5B,367796,219,363,552,61,NA,3.59,NA,NA,Yes,NA
Custom Coat TH MFG 60-3.75B,370321,206,338,510,60.8,NA,4.04,NA,NA,Yes,NA
Custom Coat TH MFG 60L-3.0,364592,216,395,466,62.2,NA,3.5,Yes,NA,NA,NA
Custom Coat TH MFG 80-3.75,362355,209,484,628,76.5,NA,4.21,NA,NA,NA,NA
Custom Coat Tommie 60-3.0,362943,230,387,NA,NA,NA,NA,NA,NA,NA,NA
Custom Coat Turbo 80-2.0,380183,217,202,373,NA,NA,2.27,NA,NA,NA,NA
Custom Coat Tyler 80-3.25,380046,221,428,646,79.1,NA,3.53,NA,NA,NA,NA
Custom Coat Tyler 80-3.5,380042,222,452,657,79.3,NA,3.78,NA,NA,NA,NA
Custom Coat Urick 80L-3.25,369295,207,218,365,74.2,64,4.11,Yes,NA,NA,NA
Custom Coat Urick 80L-3.5,322081,199,306,442,NA,63.4,4.37,Yes,NA,NA,NA
Custom Coat Weaver 80-2.5,365111,223,328,443,NA,71.1,2.82,NA,NA,NA,NA
Faskure 104FT,307122,212,154,250,NA,47.9,1.25,NA,NA,NA,NA
Faskure 106FT,305511,215,113,NA,NA,NA,NA,NA,NA,NA,NA
Faskure 124EZ,321872,220,168,273,47.7,NA,1.44,NA,Yes,NA,NA
Faskure 1525FLW,305289,223,286,364,25,NA,NA,NA,NA,NA,NA
Faskure 153FT,305330,212,288,NA,NA,NA,1.75,NA,NA,NA,NA
Faskure 154FT,307095,209,259,392,NA,47.9,1.77,NA,NA,NA,NA
Faskure 156EZ,305499,211,194,304,59.8,NA,1.92,NA,Yes,NA,NA
Faskure 156FT,307691,209,188,334,60.8,NA,1.78,NA,NA,NA,NA
Faskure 158FT,305612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faskure 203FT,321284,208,414,NA,NA,NA,NA,NA,NA,NA,NA
Faskure 204FT,305347,205,366,283,NA,NA,NA,NA,NA,NA,NA
Faskure 206EZ,380381,212,227,332,59.9,NA,2.24,NA,Yes,NA,NA
Faskure 206FT,307716,203,280,429,60.8,NA,2.27,NA,NA,NA,NA
Faskure 209EZ,308155,206,234,375,81,NA,2.36,NA,Yes,NA,NA
Faskure 209FT,305629,203,237,NA,NA,NA,NA,NA,NA,NA,NA
Faskure 25550BFT,308234,207,344,NA,NA,NA,2.75,Yes,NA,NA,NA
Faskure 256,307590,218,357,459,60.3,NA,2.71,NA,NA,NA,NA
Faskure 256FT,305483,212,328,447,NA,NA,2.55,NA,NA,NA,NA
Faskure 258FT,305588,210,326,500,76.4,NA,2.79,NA,NA,NA,NA
Faskure 258VPFT,305567,211,312,497,NA,NA,3.05,NA,NA,NA,NA
Faskure 30650BVFTPEZ,347723,216,342,479,NA,NA,3.56,Yes,Yes,NA,NA
Faskure 306FT,307618,209,456,570,60.3,57.5,3.51,NA,NA,NA,NA
Faskure 306PR,306779,214,349,NA,59.7,NA,3.41,NA,NA,NA,NA
Faskure 309FT,305627,202,376,556,86.8,NA,3.45,NA,NA,NA,NA
